date,platform,market,event_name,expected_volume,observed_volume,completeness_pct,schema_version,schema_changed,null_rate_key_property
2026-04-04,iOS,US,priority_intro_impression,0,0,0.9946,4,0,0.0037
2026-04-04,iOS,US,priority_intro_viewed,0,0,0.9861,4,0,0.0011
2026-04-04,iOS,US,priority_intro_sent,0,0,0.9885,4,0,0.0047
2026-04-04,iOS,US,paywall_viewed,1982,1954,0.9856,4,0,0.0034
2026-04-04,iOS,US,checkout_started,656,642,0.9787,4,0,0.0065
2026-04-04,iOS,US,payment_completed,599,593,0.9901,4,0,0.0033
2026-04-04,iOS,US,subscription_activated,595,590,0.9917,4,0,0.0046
2026-04-04,iOS,GB,priority_intro_impression,0,0,0.9886,4,0,0.0036
2026-04-04,iOS,GB,priority_intro_viewed,0,0,0.9884,4,0,0.0048
2026-04-04,iOS,GB,priority_intro_sent,0,0,0.9931,4,0,0.0056
2026-04-04,iOS,GB,paywall_viewed,1034,1024,0.9905,4,0,0.0057
2026-04-04,iOS,GB,checkout_started,342,338,0.987,4,0,0.0011
2026-04-04,iOS,GB,payment_completed,313,306,0.9789,4,0,0.0056
2026-04-04,iOS,GB,subscription_activated,311,304,0.9779,4,0,0.0025
2026-04-04,iOS,DE,priority_intro_impression,0,0,0.988,4,0,0.0057
2026-04-04,iOS,DE,priority_intro_viewed,0,0,0.9753,4,0,0.0019
2026-04-04,iOS,DE,priority_intro_sent,0,0,0.983,4,0,0.0026
2026-04-04,iOS,DE,paywall_viewed,776,766,0.988,4,0,0.0055
2026-04-04,iOS,DE,checkout_started,257,255,0.9918,4,0,0.0092
2026-04-04,iOS,DE,payment_completed,234,234,0.9976,4,0,0.0015
2026-04-04,iOS,DE,subscription_activated,233,228,0.9787,4,0,0.0035
2026-04-04,iOS,CA,priority_intro_impression,0,0,0.986,4,0,0.006
2026-04-04,iOS,CA,priority_intro_viewed,0,0,0.9918,4,0,0.0055
2026-04-04,iOS,CA,priority_intro_sent,0,0,0.988,4,0,0.0048
2026-04-04,iOS,CA,paywall_viewed,517,512,0.9904,4,0,0.0036
2026-04-04,iOS,CA,checkout_started,171,170,0.9916,4,0,0.0014
2026-04-04,iOS,CA,payment_completed,156,155,0.9938,4,0,0.0051
2026-04-04,iOS,CA,subscription_activated,155,155,0.9995,4,0,0.0039
2026-04-04,Android,US,priority_intro_impression,0,0,0.9785,4,0,0.0028
2026-04-04,Android,US,priority_intro_viewed,0,0,0.9867,4,0,0.0026
2026-04-04,Android,US,priority_intro_sent,0,0,0.9803,4,0,0.0033
2026-04-04,Android,US,paywall_viewed,1830,1792,0.9793,4,0,0.0061
2026-04-04,Android,US,checkout_started,606,593,0.9786,4,0,0.005
2026-04-04,Android,US,payment_completed,553,550,0.994,4,0,0.0048
2026-04-04,Android,US,subscription_activated,550,548,0.9963,4,0,0.0047
2026-04-04,Android,GB,priority_intro_impression,0,0,0.9932,4,0,0.0024
2026-04-04,Android,GB,priority_intro_viewed,0,0,0.9803,4,0,0.003
2026-04-04,Android,GB,priority_intro_sent,0,0,0.9888,4,0,0.0058
2026-04-04,Android,GB,paywall_viewed,955,936,0.9804,4,0,0.0028
2026-04-04,Android,GB,checkout_started,316,311,0.983,4,0,0.0054
2026-04-04,Android,GB,payment_completed,288,284,0.9843,4,0,0.006
2026-04-04,Android,GB,subscription_activated,287,283,0.9856,4,0,0.0026
2026-04-04,Android,DE,priority_intro_impression,0,0,0.9834,4,0,0.0008
2026-04-04,Android,DE,priority_intro_viewed,0,0,0.9716,4,0,0.0029
2026-04-04,Android,DE,priority_intro_sent,0,0,0.9831,4,0,0.0078
2026-04-04,Android,DE,paywall_viewed,716,709,0.9904,4,0,0.0056
2026-04-04,Android,DE,checkout_started,237,234,0.9886,4,0,0.0036
2026-04-04,Android,DE,payment_completed,216,212,0.9789,4,0,0.0016
2026-04-04,Android,DE,subscription_activated,215,214,0.9965,4,0,0.0031
2026-04-04,Android,CA,priority_intro_impression,0,0,0.985,4,0,0.0053
2026-04-04,Android,CA,priority_intro_viewed,0,0,0.9865,4,0,0.0035
2026-04-04,Android,CA,priority_intro_sent,0,0,0.9995,4,0,0.0047
2026-04-04,Android,CA,paywall_viewed,477,470,0.9855,4,0,0.0032
2026-04-04,Android,CA,checkout_started,158,155,0.9835,4,0,0.0046
2026-04-04,Android,CA,payment_completed,144,143,0.9914,4,0,0.0029
2026-04-04,Android,CA,subscription_activated,143,141,0.9864,4,0,0.0011
2026-04-05,iOS,US,priority_intro_impression,0,0,0.9861,4,0,0.0052
2026-04-05,iOS,US,priority_intro_viewed,0,0,0.982,4,0,0.0038
2026-04-05,iOS,US,priority_intro_sent,0,0,0.9836,4,0,0.0031
2026-04-05,iOS,US,paywall_viewed,2060,2039,0.9897,4,0,0.0022
2026-04-05,iOS,US,checkout_started,682,678,0.9948,4,0,0.0063
2026-04-05,iOS,US,payment_completed,622,619,0.9952,4,0,0.0023
2026-04-05,iOS,US,subscription_activated,619,604,0.9764,4,0,0.0029
2026-04-05,iOS,GB,priority_intro_impression,0,0,0.9887,4,0,0.0039
2026-04-05,iOS,GB,priority_intro_viewed,0,0,0.9868,4,0,0.004
2026-04-05,iOS,GB,priority_intro_sent,0,0,0.9858,4,0,0.0052
2026-04-05,iOS,GB,paywall_viewed,1075,1052,0.9792,4,0,0.0047
2026-04-05,iOS,GB,checkout_started,356,352,0.991,4,0,0.0029
2026-04-05,iOS,GB,payment_completed,325,325,0.9995,4,0,0.0045
2026-04-05,iOS,GB,subscription_activated,323,319,0.9895,4,0,0.0018
2026-04-05,iOS,DE,priority_intro_impression,0,0,0.9895,4,0,0.0044
2026-04-05,iOS,DE,priority_intro_viewed,0,0,0.9947,4,0,0.0031
2026-04-05,iOS,DE,priority_intro_sent,0,0,0.9947,4,0,0.0016
2026-04-05,iOS,DE,paywall_viewed,806,796,0.9881,4,0,0.0007
2026-04-05,iOS,DE,checkout_started,267,264,0.9879,4,0,0.0054
2026-04-05,iOS,DE,payment_completed,244,238,0.9786,4,0,0.0052
2026-04-05,iOS,DE,subscription_activated,242,240,0.9908,4,0,0.0011
2026-04-05,iOS,CA,priority_intro_impression,0,0,0.982,4,0,0.003
2026-04-05,iOS,CA,priority_intro_viewed,0,0,0.9911,4,0,0.0065
2026-04-05,iOS,CA,priority_intro_sent,0,0,0.9839,4,0,0.0022
2026-04-05,iOS,CA,paywall_viewed,537,530,0.9856,4,0,0.0
2026-04-05,iOS,CA,checkout_started,178,176,0.9907,4,0,0.0037
2026-04-05,iOS,CA,payment_completed,162,160,0.9861,4,0,0.0064
2026-04-05,iOS,CA,subscription_activated,161,159,0.9862,4,0,0.0026
2026-04-05,Android,US,priority_intro_impression,0,0,0.994,4,0,0.0032
2026-04-05,Android,US,priority_intro_viewed,0,0,0.9882,4,0,0.0034
2026-04-05,Android,US,priority_intro_sent,0,0,0.9878,4,0,0.0044
2026-04-05,Android,US,paywall_viewed,1901,1882,0.9899,4,0,0.0019
2026-04-05,Android,US,checkout_started,629,627,0.9958,4,0,0.0033
2026-04-05,Android,US,payment_completed,575,566,0.9854,4,0,0.0055
2026-04-05,Android,US,subscription_activated,571,563,0.9852,4,0,0.0048
2026-04-05,Android,GB,priority_intro_impression,0,0,0.9948,4,0,0.0056
2026-04-05,Android,GB,priority_intro_viewed,0,0,0.9854,4,0,0.0058
2026-04-05,Android,GB,priority_intro_sent,0,0,0.9868,4,0,0.0026
2026-04-05,Android,GB,paywall_viewed,992,975,0.9831,4,0,0.0046
2026-04-05,Android,GB,checkout_started,328,323,0.984,4,0,0.0064
2026-04-05,Android,GB,payment_completed,300,298,0.9929,4,0,0.0051
2026-04-05,Android,GB,subscription_activated,298,296,0.9949,4,0,0.0057
2026-04-05,Android,DE,priority_intro_impression,0,0,0.9834,4,0,0.0085
2026-04-05,Android,DE,priority_intro_viewed,0,0,0.9792,4,0,0.0043
2026-04-05,Android,DE,priority_intro_sent,0,0,0.977,4,0,0.0035
2026-04-05,Android,DE,paywall_viewed,744,733,0.9854,4,0,0.0015
2026-04-05,Android,DE,checkout_started,246,244,0.9913,4,0,0.0042
2026-04-05,Android,DE,payment_completed,225,222,0.988,4,0,0.0021
2026-04-05,Android,DE,subscription_activated,223,223,0.9964,4,0,0.0036
2026-04-05,Android,CA,priority_intro_impression,0,0,0.9924,4,0,0.0013
2026-04-05,Android,CA,priority_intro_viewed,0,0,0.9966,4,0,0.0034
2026-04-05,Android,CA,priority_intro_sent,0,0,0.9938,4,0,0.0033
2026-04-05,Android,CA,paywall_viewed,496,490,0.9877,4,0,0.0049
2026-04-05,Android,CA,checkout_started,164,162,0.9878,4,0,0.0078
2026-04-05,Android,CA,payment_completed,150,148,0.987,4,0,0.0036
2026-04-05,Android,CA,subscription_activated,149,148,0.9946,4,0,0.0043
2026-04-06,iOS,US,priority_intro_impression,0,0,0.9825,4,0,0.0035
2026-04-06,iOS,US,priority_intro_viewed,0,0,0.9926,4,0,0.0042
2026-04-06,iOS,US,priority_intro_sent,0,0,0.9949,4,0,0.002
2026-04-06,iOS,US,paywall_viewed,2079,2058,0.99,4,0,0.0027
2026-04-06,iOS,US,checkout_started,688,678,0.986,4,0,0.003
2026-04-06,iOS,US,payment_completed,628,618,0.9832,4,0,0.0083
2026-04-06,iOS,US,subscription_activated,624,618,0.9891,4,0,0.0055
2026-04-06,iOS,GB,priority_intro_impression,0,0,0.9904,4,0,0.0075
2026-04-06,iOS,GB,priority_intro_viewed,0,0,0.9849,4,0,0.0018
2026-04-06,iOS,GB,priority_intro_sent,0,0,0.992,4,0,0.0024
2026-04-06,iOS,GB,paywall_viewed,1085,1081,0.997,4,0,0.0024
2026-04-06,iOS,GB,checkout_started,359,354,0.9867,4,0,0.0053
2026-04-06,iOS,GB,payment_completed,328,322,0.9817,4,0,0.0035
2026-04-06,iOS,GB,subscription_activated,326,323,0.9902,4,0,0.0015
2026-04-06,iOS,DE,priority_intro_impression,0,0,0.9876,4,0,0.0016
2026-04-06,iOS,DE,priority_intro_viewed,0,0,0.9871,4,0,0.007
2026-04-06,iOS,DE,priority_intro_sent,0,0,0.9965,4,0,0.0037
2026-04-06,iOS,DE,paywall_viewed,813,803,0.9869,4,0,0.0027
2026-04-06,iOS,DE,checkout_started,269,267,0.9928,4,0,0.0053
2026-04-06,iOS,DE,payment_completed,246,241,0.98,4,0,0.0024
2026-04-06,iOS,DE,subscription_activated,244,240,0.9806,4,0,0.0044
2026-04-06,iOS,CA,priority_intro_impression,0,0,0.9896,4,0,0.0043
2026-04-06,iOS,CA,priority_intro_viewed,0,0,0.9918,4,0,0.0051
2026-04-06,iOS,CA,priority_intro_sent,0,0,0.9881,4,0,0.005
2026-04-06,iOS,CA,paywall_viewed,542,534,0.9851,4,0,0.0054
2026-04-06,iOS,CA,checkout_started,180,178,0.9943,4,0,0.0002
2026-04-06,iOS,CA,payment_completed,164,164,0.9978,4,0,0.0039
2026-04-06,iOS,CA,subscription_activated,163,162,0.9924,4,0,0.0041
2026-04-06,Android,US,priority_intro_impression,0,0,0.9973,4,0,0.004
2026-04-06,Android,US,priority_intro_viewed,0,0,0.9905,4,0,0.0031
2026-04-06,Android,US,priority_intro_sent,0,0,0.9882,4,0,0.0048
2026-04-06,Android,US,paywall_viewed,1919,1885,0.9823,4,0,0.0037
2026-04-06,Android,US,checkout_started,635,625,0.9848,4,0,0.0042
2026-04-06,Android,US,payment_completed,580,576,0.9939,4,0,0.0043
2026-04-06,Android,US,subscription_activated,576,574,0.9958,4,0,0.0028
2026-04-06,Android,GB,priority_intro_impression,0,0,0.986,4,0,0.0037
2026-04-06,Android,GB,priority_intro_viewed,0,0,0.9827,4,0,0.0047
2026-04-06,Android,GB,priority_intro_sent,0,0,0.9838,4,0,0.0027
2026-04-06,Android,GB,paywall_viewed,1001,991,0.9895,4,0,0.0026
2026-04-06,Android,GB,checkout_started,331,327,0.9879,4,0,0.0038
2026-04-06,Android,GB,payment_completed,303,301,0.9945,4,0,0.0066
2026-04-06,Android,GB,subscription_activated,301,298,0.9911,4,0,0.0028
2026-04-06,Android,DE,priority_intro_impression,0,0,0.9929,4,0,0.0083
2026-04-06,Android,DE,priority_intro_viewed,0,0,0.9858,4,0,0.0036
2026-04-06,Android,DE,priority_intro_sent,0,0,0.9957,4,0,0.0038
2026-04-06,Android,DE,paywall_viewed,751,740,0.9858,4,0,0.006
2026-04-06,Android,DE,checkout_started,249,244,0.9826,4,0,0.0057
2026-04-06,Android,DE,payment_completed,227,223,0.983,4,0,0.0049
2026-04-06,Android,DE,subscription_activated,226,223,0.9874,4,0,0.0025
2026-04-06,Android,CA,priority_intro_impression,0,0,0.9928,4,0,0.0014
2026-04-06,Android,CA,priority_intro_viewed,0,0,0.9913,4,0,0.0036
2026-04-06,Android,CA,priority_intro_sent,0,0,0.9941,4,0,0.0018
2026-04-06,Android,CA,paywall_viewed,501,497,0.9934,4,0,0.0076
2026-04-06,Android,CA,checkout_started,166,163,0.9842,4,0,0.004
2026-04-06,Android,CA,payment_completed,151,150,0.9936,4,0,0.0105
2026-04-06,Android,CA,subscription_activated,150,149,0.9894,4,0,0.0028
2026-04-07,iOS,US,priority_intro_impression,0,0,0.9893,4,0,0.0037
2026-04-07,iOS,US,priority_intro_viewed,0,0,0.9852,4,0,0.0016
2026-04-07,iOS,US,priority_intro_sent,0,0,0.9969,4,0,0.0011
2026-04-07,iOS,US,paywall_viewed,2025,1998,0.9867,4,0,0.0006
2026-04-07,iOS,US,checkout_started,670,653,0.9744,4,0,0.0049
2026-04-07,iOS,US,payment_completed,612,599,0.9792,4,0,0.0052
2026-04-07,iOS,US,subscription_activated,608,601,0.988,4,0,0.0022
2026-04-07,iOS,GB,priority_intro_impression,0,0,0.9921,4,0,0.0014
2026-04-07,iOS,GB,priority_intro_viewed,0,0,0.9923,4,0,0.006
2026-04-07,iOS,GB,priority_intro_sent,0,0,0.98,4,0,0.0042
2026-04-07,iOS,GB,paywall_viewed,1057,1054,0.9972,4,0,0.0045
2026-04-07,iOS,GB,checkout_started,350,343,0.9802,4,0,0.0058
2026-04-07,iOS,GB,payment_completed,319,316,0.9881,4,0,0.0044
2026-04-07,iOS,GB,subscription_activated,317,311,0.9796,4,0,0.0046
2026-04-07,iOS,DE,priority_intro_impression,0,0,0.9893,4,0,0.0018
2026-04-07,iOS,DE,priority_intro_viewed,0,0,0.9906,4,0,0.0033
